level,level_name,field_of_study,academic_field
unknown,unknown,"-, Marketing/Marketing Management, General",marketing
unknown,unknown,“Wellness Counseling Certificate”,other
unknown,unknown,"(BA) Hons Fashion, Fashion/Apparel Design",other
unknown,unknown,"(BA) Liberal Arts, Liberal Arts and Sciences/Liberal Studies",other
unknown,unknown,* Career certificate of Marketing.,marketing
unknown,unknown,"1st Class Honour, Information System and Computing",information system
unknown,unknown,"2:1, Business Management",business management
unknown,unknown,"2:1, French and Hispanic Studies",other
unknown,unknown,"2.1, Graphic Design and Illustration",graphic design
unknown,unknown,"2.1, Management",marketing
unknown,unknown,"2nd Lower Honours, Management",management
unknown,unknown,A Level,other
unknown,unknown,"Academic Qualification, Computer Science and Business Administration ",computer science
unknown,unknown,"ACCA, Accounting",accounting
unknown,unknown,"Accelerated Development Program, General Management / Leadership",management
unknown,unknown,Accountancy and Finance,accounting
unknown,unknown,Accounting,accounting
unknown,unknown,Accounting & Finance,accounting
unknown,unknown,Accounting and Business/Management,accounting
unknown,unknown,Accounting and Finance,accounting
unknown,unknown,"Accounting and Management  BSc (Hons), Business and Management",accounting
unknown,unknown,"Accredited Editor (AE), Professionally qualified editor",other
unknown,unknown,"ACMA, Management Accounting",accounting
diploma,diploma,"Advance Diploma in Accounting and Business, Accounting and Business/Management",accounting
diploma,diploma,"Advance Diploma in Computer Study, Management Information Systems, General",management
diploma,diploma,"Advance Diploma of Multimedia Design, Multimedia Design",other
unknown,unknown,"Advance Management Program, Leadership",management
unknown,unknown,"advanced certificate , practical counselling",other
unknown,unknown,"Advanced Certification Program in Cyber Security ( IIT Kanpur )   , Cyber Security",cyber
unknown,unknown,"Advanced Degree in Political Science, International Politics",political science
diploma,diploma,Advanced Diploma of Aviation,other
diploma,diploma,"Advanced Diploma of Electrical Engineering, Power Distribution",electrical engineering
diploma,diploma,"Advanced Diploma, Business Administration and Management",business management
diploma,diploma,"Advanced Diploma, Business Management",business management
diploma,diploma,"Advanced diploma, Electrical, Electronic and Communications Engineering Technology/Technician",electronic
diploma,diploma,"Advanced Diploma, Information Systems",information system
diploma,diploma,"Advanced Diploma, Visual Communications (Graphic Design)",graphic design
unknown,unknown,"advanced international certificate in AML, money laundering ",other
unknown,unknown,"Advanced Management Program (AMP 199), Advanced Management and Leadership",management
unknown,unknown,"Advanced Management Program, Management",management
unknown,unknown,"Advanced Master's degree, Strategy & Management of International Affairs",management
unknown,unknown,Advancing Next-Gen Leaders Program,other
unknown,unknown,"Aerospace, Aeronautical and Astronautical/Space Engineering",space
unknown,unknown,"Agile Coaching, Scrum",other
unknown,unknown,agricultural engineering,agricultural engineering
unknown,unknown,AltMBA37,marketing
unknown,unknown,Applied Mathematics,applied mathematics
unknown,unknown,architechture,architecture and design
unknown,unknown,Architecture,architecture and design
unknown,unknown,"Artificial Intelligence, Marketing/Marketing Management, General",marketing
unknown,unknown,"Artificial Intelligence: Business Strategies and Applications, Executive Certification",business
unknown,unknown,Artificial Intelligence: Implications for Business Strategy Program,business
unknown,unknown,"Arts and Festival Management, Arts and Festival Management",management
unknown,unknown,"AS, Paralegal",other
unknown,unknown,Asset Management,management
unknown,unknown,Associate Member at CPA Australia,other
unknown,unknown,"Associate of Science - AS, Journalism",journalism
unknown,unknown,"Associate's degree, Business, Management, Marketing, and Related Support Services",business management
unknown,unknown,"Associate's degree, Room Division",other
unknown,unknown,"Associate’s Degree, Tourism and Marketing",marketing
unknown,unknown,"Assoicate Estate Planning Practitioner , Estate Planning ",other
unknown,unknown,AW#27,marketing
bachelor,bachelor,"B App Sc(CE), Computer Engineering",other
bachelor,bachelor,"B Communications Public Relations, Marketing",marketing
bachelor,bachelor,"B Sc., Chemistry (General)",chemistry
bachelor,bachelor,"B Soc. Sci., Communications and New Media",other
bachelor,bachelor,"B Tech, Telecommunication",other
bachelor,bachelor,"B, Hotelmanagement, business administration",business administration
bachelor,bachelor,"B. Eng, Electrical Engineering",electrical engineering
bachelor,bachelor,"B. Sc, Computer Science; Networking Techniques and Management of Information Systems",computer science
bachelor,bachelor,"B. Sc. HBP (Architecture), Architecture",other
bachelor,bachelor,"B.A (2nd Upper Class Honours), History",history
bachelor,bachelor,"B.A. (Hons) / M.Eng, Electrical and Electronic Engineering",electronic
bachelor,bachelor,"B.A. Honours, Business Administration with Major in Economics & International Finance",business administration
bachelor,bachelor,"B.A. Hons (2nd Upper), English Literature",english literature
bachelor,bachelor,"B.A. Hons in English Language & Literature, English Language and Literature, General",literature
bachelor,bachelor,"B.A. Journalism & Mass Communications, Journalism and Mass Communications",journalism
bachelor,bachelor,"B.A., Business Economics",business
bachelor,bachelor,"B.A., Computer Science",computer science
bachelor,bachelor,"B.A., Foreign Trade",other
bachelor,bachelor,"B.A., Japanese",other
bachelor,bachelor,"B.A., Psychology, Journalism",psychology
bachelor,bachelor,B.A.(Policy Management)],management
bachelor,bachelor,"B.Bus, Business Information Systems",business
bachelor,bachelor,"B.Com, Banking & Finance",finance
bachelor,bachelor,"B.Comp, Information Systems",information system
bachelor,bachelor,"B.E, Computer Science",computer science
bachelor,bachelor,"B.E, Computer Technology",other
bachelor,bachelor,"B.E. (CS), Computer Science",computer science
bachelor,bachelor,"B.E., Electronics",electronic
bachelor,bachelor,"B.Eng (Hons), Electrical & Electronic Engineering",electronic
bachelor,bachelor,"B.Eng, Computer Engineering with a Minor in Business",business
bachelor,bachelor,"B.Eng, Electrical Engineering",electrical engineering
bachelor,bachelor,"B.S, Electrical Engineering",electrical engineering
bachelor,bachelor,"B.S, Finance and Financial Management Services",finance
bachelor,bachelor,B.S.,business administration
bachelor,bachelor,"B.S. and MBA, Economics and Organizational Leadership",economics
bachelor,bachelor,"B.S. Business Administration, Leed's School of Business",business administration
bachelor,bachelor,"B.S. Marketing, Statistics, Business Administration",marketing
bachelor,bachelor,"B.S., Management",management
bachelor,bachelor,"B.S.E., Computer Science in Engineering",computer science
bachelor,bachelor,"B.Sc Real Estate, Real Estate",other
bachelor,bachelor,"B.SC, Biochemistry with Biotechnology & Molecular Genetics",chemistry
bachelor,bachelor,"B.SC, Mechanical Engineering, Industrial / Operational Management & Business Administration",business administration
bachelor,bachelor,"B.Sc.  (Statistics, Economics, Math’s, English and French)",economics
bachelor,bachelor hons,B.Sc. (Hons) of Food Science & Technology,food science
bachelor,bachelor hons,"B.Sc. (Hons), International Hospitality Management",management
bachelor,bachelor hons,"B.Sc. (Hons), International Management",management
bachelor,bachelor,"B.Sc., Computer Science",computer science
bachelor,bachelor,"B.Sc.E, Electrical Engineering",electrical engineering
bachelor,bachelor,"B.Tech, Engineering",other
bachelor,bachelor,"B.tech, Human Resources Management/Personnel Administration, General",human resources
bachelor,bachelor,BA,marketing
bachelor,bachelor hons,"BA ""Hons"", Graphic Design",graphic design
bachelor,bachelor hons,"BA (Hons) Accounting & Finance, Accounting & Finance",accounting
bachelor,bachelor hons,"BA (Hons) Fashion Pattern Cutting, Fashion/Apparel Design",other
bachelor,bachelor hons,BA (Hons) History,history
bachelor,bachelor hons,"BA (Hons) of Business and Human Resource Management, HRM",business
bachelor,bachelor hons,"BA (Hons), Arabic and Middle East Studies",languages and literature
bachelor,bachelor hons,"BA (Hons), Business Studies",business
bachelor,bachelor hons,"BA (Hons), Business, major in Marketing",marketing
bachelor,bachelor hons,"BA (Hons), Communication and Media",other
bachelor,bachelor hons,"BA (Hons), European Business",business
bachelor,bachelor hons,"BA (Hons), First Class",other
bachelor,bachelor hons,"BA (Hons), Graphic Communication",other
bachelor,bachelor hons,"BA (hons), Human Geography",human geography
bachelor,bachelor hons,"BA (Hons), Media Studies",media studies
bachelor,bachelor hons,"BA (Hons), Politics & Law",law
bachelor,bachelor hons,"BA (hons), Psychology with Health Studies",psychology
bachelor,bachelor hons,"BA Business Organisation (Hons.), Business Administration and Management, General",business administration
bachelor,bachelor,"BA European Languages, Spanish Language and Literature",languages
bachelor,bachelor,"BA Honours & BTEC Diploma holder, London University of the Arts (London Institute)",the arts
bachelor,bachelor hons,"BA Hons, Business & Law",business
bachelor,bachelor hons,"BA Hons, Graphic Design",graphic design
bachelor,bachelor hons,"BA Hons, Linguistics",other
bachelor,bachelor,"BA in Marketing and the Media, Marketing/Marketing Management, General",marketing
bachelor,bachelor,"BA Media Communication, Currently Completing",other
bachelor,bachelor,BA Philosophy,philosophy
bachelor,bachelor,"BA, Asian Studies",asian studies
bachelor,bachelor,"BA, Business Economics",business
bachelor,bachelor,"BA, Communication Arts, English",other
bachelor,bachelor,"BA, Communications, PR",other
bachelor,bachelor,"BA, Economics",economics
bachelor,bachelor,"BA, Economics & Commerce",economics
bachelor,bachelor,"BA, Economics, Political Science, Psychology",psychology
bachelor,bachelor,"BA, English",languages and literature
bachelor,bachelor,"BA, English and History",languages and literature
bachelor,bachelor,"BA, English and World Literature; Music",languages and literature
bachelor,bachelor,"BA, English Language and Literature/Letters",languages and literature
bachelor,bachelor,"BA, English Literature / Journalism and Mass Media",journalism
bachelor,bachelor,"BA, International Relations",international relations
bachelor,bachelor,"BA, International Studies -- European Studies",european studies
bachelor,bachelor,"BA, Political Science",political science
bachelor,bachelor,"BA, Social Sciences - Business and Management",business
bachelor,bachelor hons,BA(HONS) in Business Administration,business administration
bachelor,bachelor hons,BA(Hons) International Business,business
bachelor,bachelor hons,"BA(Hons) Product Design, Industrial and Product Design",industrial
bachelor,bachelor hons,"BA(Hons), Advertising Design",advertising
bachelor,bachelor,"Bachelor (2nd Upper), Communication Studies",communication studies
bachelor,bachelor,Bachelor (Honours) in Business Management with Communications,business management
bachelor,bachelor,"Bachelor Degree in Business Administration , Human Resource Management ",business administration
bachelor,bachelor,Bachelor Degree in BusinessIT & Management,business
bachelor,bachelor,Bachelor Degree in Mass Communication,mass communication
bachelor,bachelor,"Bachelor Degree, Business Management and Accountancy",business management
bachelor,bachelor,"Bachelor Degree, Business Studies (Marketing)",marketing
bachelor,bachelor,"Bachelor degree, Public Relations/Image Management",management
bachelor,bachelor,"Bachelor Degree; Graduate Diploma, Computer Science Engineering",computer science
bachelor,bachelor,"Bachelor in Arts and Science, Specialisation in Communications Studies, Television production ; Minor in Political Science",performing arts
bachelor,Bachelor,"Bachelor in Business Administration (B.B.A.), International Marketing (TVU)",marketing
bachelor,bachelor,"Bachelor in Business Adminstration, Business Administration",business administration
bachelor,bachelor,"Bachelor in Business Management, Operations Management (Analytics) and Strategic Management",business management
bachelor,bachelor,Bachelor in Communication and Media Studies,media studies
bachelor,bachelor,"Bachelor in Film and Tv, Bachelor in Film and Tv",other
bachelor,bachelor,"Bachelor in Graphic Design , Graphic Design",graphic design
bachelor,bachelor,Bachelor in Mechanical Engineering,other
bachelor,bachelor,"Bachelor in Occupational Safety & Health with honor, safety",other
bachelor,bachelor,"Bachelor in Science (Honours) Management, Marketing/Marketing Management, General",marketing
bachelor,bachelor,"Bachelor in Technology, Information Technology",information technology
bachelor,bachelor,Bachelor of Accountancy and Business (Marketing),accounting
bachelor,bachelor,"Bachelor of Accountancy with Honours, Accountancy ",accounting
bachelor,bachelor,"Bachelor of Accountancy, 2nd Major in Analytics (Accounting)",accounting
bachelor,bachelor,"Bachelor of Accountancy, Accounting",accounting
bachelor,bachelor,"Bachelor of Accountancy, Accounting and Finance",accounting
bachelor,bachelor,"Bachelor of Agriculture, Agronomy",agriculture
bachelor,bachelor,"Bachelor of Applied Engineering, Civil Engineering",civil engineering
bachelor,bachelor,"Bachelor of Applied Science - BASc, Computer and Information Sciences and Support Services",information
bachelor,bachelor,"Bachelor of Applied Science (B.A.Sc.), Business Administration and Management, General",business administration
bachelor,bachelor,"Bachelor of Applied Science (B.A.Sc.), Business, Economics and Social Sciences",business
bachelor,bachelor,"Bachelor of Applied Science (B.A.Sc.), Communication Studies",communication studies
bachelor,bachelor,"Bachelor of Applied Science (B.A.Sc.), Computer Engineering",other
bachelor,bachelor,"Bachelor of Applied Science (B.A.Sc.), Electrical and Electronics Engineering",electronic
bachelor,bachelor,"Bachelor of Applied Science (BASc), Business, Management, Marketing, and Related Support Services",business management
bachelor,bachelor,Bachelor of Arts - BA,other
bachelor,bachelor,"Bachelor of Arts - BA (Honours), Political Science ",political science
bachelor,bachelor,"Bachelor of Arts - BA (Hons), International/Global Studies",other
bachelor,bachelor,"Bachelor of Arts - BA, Art History, French",history
bachelor,bachelor,"Bachelor of Arts - BA, Business Administration and Management, General",business administration
bachelor,bachelor,"Bachelor of Arts - BA, Business Administration, Management and Operations",business administration
bachelor,bachelor,"Bachelor of Arts - BA, Business Management",business management
bachelor,bachelor,"Bachelor of Arts - BA, Business with Human Resource Management",business
bachelor,bachelor,"Bachelor of Arts - BA, Communication and Media Studies",media studies
bachelor,Bachelor,"Bachelor of Arts - BA, Communication and Media, Journalism",media studies
bachelor,bachelor,"Bachelor of Arts - BA, Communications and New Media",media studies
bachelor,bachelor,"Bachelor of Arts - BA, Design and Visual Communications, General",languages and literature
bachelor,bachelor,"Bachelor of Arts - BA, English Language",languages and literature
bachelor,bachelor,"Bachelor of Arts - BA, English Language and Literature, General",languages and literature
bachelor,bachelor,"Bachelor of Arts - BA, English Language and Literature/Letters with an emphasis in Creative Writing",languages and literature
bachelor,bachelor,"Bachelor of Arts - BA, History / Minor in Communication Studies",history
bachelor,bachelor,"Bachelor of Arts - BA, International Business",business
bachelor,bachelor,"Bachelor of Arts - BA, International Relations and Affairs",international relations
bachelor,bachelor,"Bachelor of Arts - BA, Journalism",journalism
bachelor,bachelor,"Bachelor of Arts - BA, Language and Communication",languages and literature
bachelor,bachelor,"Bachelor of Arts - BA, Linguistics",languages and literature
bachelor,bachelor,"Bachelor of Arts - BA, Mass Communication/Media Studies",media studies
bachelor,bachelor,"Bachelor of Arts - BA, Oriental Languages and Cultures",languages
bachelor,bachelor,"Bachelor of Arts - BA, Philosophy",philosophy
bachelor,bachelor,"Bachelor of Arts - BA, Philosophy and Politics",philosophy
bachelor,bachelor,"Bachelor of Arts - BA, Public Relations & Marketing",marketing
bachelor,bachelor,"Bachelor of Arts - BA, Sociology",sociology
bachelor,bachelor,"Bachelor of Arts - BA, Theatre/Theater",other
bachelor,bachelor,"Bachelor of Arts - BA, Tourism & Events Management / Hospitality & Tourism Management",management
bachelor,bachelor,"Bachelor of Arts - BA, Translation",translation
bachelor,bachelor,"Bachelor of Arts - BA(Hons), Business with Tourism",business
bachelor,Bachelor,Bachelor of Arts (B.A.),other
bachelor,bachelor,"Bachelor of Arts (B.A.) Honours, Business and Management",business management
bachelor,bachelor,"Bachelor of Arts (B.A.) in Design Communication, Graphic Design",graphic design
bachelor,bachelor,"Bachelor of Arts (B.A.), Advertising",advertising
bachelor,bachelor,"Bachelor of Arts (B.A.), Advertising and Marketing",marketing
bachelor,bachelor,"Bachelor of Arts (B.A.), Arts, Entertainment, and Media Management",management
bachelor,bachelor,"Bachelor of Arts (B.A.), Behavioral Studies",other
bachelor,bachelor,"Bachelor of Arts (B.A.), Business & Human Resources Management",human resources
bachelor,bachelor,"Bachelor of Arts (B.A.), Business Studies",business
bachelor,bachelor,"Bachelor of Arts (B.A.), Communication and Media Studies",media studies
bachelor,bachelor,"Bachelor of Arts (B.A.), Communications",other
bachelor,bachelor,"Bachelor of Arts (B.A.), Computer Science",computer science
bachelor,bachelor,"Bachelor of Arts (B.A.), Creative Writing and English double major with an Environmental Studies minor",creative writing
bachelor,bachelor,"Bachelor of Arts (B.A.), Double Major in Communication and Media Studies, Economics",media studies
bachelor,bachelor,"Bachelor of Arts (B.A.), Economics",economics
bachelor,bachelor,"Bachelor of Arts (B.A.), Economics, Chinese Studies, Philiosophy",economics
bachelor,bachelor,"Bachelor of Arts (B.A.), Economics, Sociology",sociology
bachelor,bachelor,"Bachelor of Arts (B.A.), English Language and Literature, General",literature
bachelor,bachelor,"Bachelor of Arts (B.A.), English Literature (British and Commonwealth)",english literature
bachelor,bachelor,"Bachelor of Arts (B.A.), English Literature/Philosophy",english literature
bachelor,bachelor,"Bachelor of Arts (B.A.), Finance",finance
bachelor,bachelor,"Bachelor of Arts (B.A.), French and German",other
bachelor,bachelor,"Bachelor of Arts (B.A.), International Studies",other
bachelor,bachelor,"Bachelor of Arts (B.A.), International Studies - Economics ",economics
bachelor,Bachelor,"Bachelor of Arts (B.A.), Law and Management Science",law
bachelor,bachelor,"Bachelor of Arts (B.A.), Major in English, Minor in Linguistics",other
bachelor,bachelor,"Bachelor of Arts (B.A.), Marketing",marketing
bachelor,bachelor,"Bachelor of Arts (B.A.), Mass Communication/Media Studies",media studies
bachelor,bachelor,"Bachelor of Arts (B.A.), Philosophy and English",philosophy
bachelor,Bachelor,"Bachelor of Arts (B.A.), Psychology",psychology
bachelor,bachelor,"Bachelor of Arts (B.A.), Visual Communications Design",visual communication
bachelor,bachelor,"Bachelor of Arts (BA) Honours, Psychology",psychology
bachelor,bachelor,"Bachelor of Arts (BA), Anthropology",anthropology
bachelor,bachelor,"Bachelor of Arts (BA), Contemporary Music Studies",other
bachelor,bachelor,"Bachelor of Arts (BA), Economics",economics
bachelor,bachelor,"Bachelor of Arts (BA), English Language and Literature, General",literature
bachelor,bachelor,"Bachelor of Arts (BA), Fiction Writing, Creative Nonfiction, Research, Photography",creative nonfiction
bachelor,bachelor,"Bachelor of Arts (BA), Graphic Communications",other
bachelor,bachelor,"Bachelor of Arts (BA), Ho Chi Minh City University of Technology - School of Industrial Management",management
bachelor,bachelor,"Bachelor of Arts (BA), Politics and International Relations",international relations
bachelor,bachelor,"Bachelor of Arts (BA), Psychology, Communications and New Media",psychology
bachelor,bachelor,"Bachelor of Arts (BA), Sociology",sociology
bachelor,bachelor,"Bachelor of Arts (Honors) in Industrial Design, Industrial Design",industrial
bachelor,bachelor,"Bachelor of Arts (Honours), Arts & Social Sciences",other
bachelor,bachelor,"Bachelor of Arts (Hons, Second Upper), English Language",other
bachelor,bachelor,"Bachelor of Arts (Hons), English Language and Literature, General",literature
bachelor,bachelor,"BACHELOR OF ARTS (HONS), JOURNALISM AND MASS COMMUNICATION",journalism
bachelor,bachelor,"Bachelor of Arts & Bachelor of Education, Drama and English",education
bachelor,bachelor,"Bachelor of Arts & Social Sciences, Political Science, Philosophy, English Literature",english literature
bachelor,bachelor,"Bachelor of Arts and Social Sciences (BA) Hons, Psychology",psychology
bachelor,bachelor,"Bachelor of Arts and Social Sciences, Communications and New Media",other
bachelor,bachelor,"Bachelor of Arts and Social Sciences, English Language",other
bachelor,bachelor,Bachelor of Arts in Psychology with Business,business
bachelor,bachelor,"Bachelor of Arts with Honours, International Marketing",marketing
bachelor,bachelor,"Bachelor of Arts with Merit, Political Science",political science
bachelor,bachelor,"Bachelor of Arts, Anthropology and Psychology",psychology
bachelor,bachelor,"Bachelor of Arts, Communication and Media Management",management
bachelor,bachelor,"Bachelor of Arts, Cultural Studies",cultural studies
bachelor,bachelor,"Bachelor of Arts, Economics",economics
bachelor,bachelor,"Bachelor of Arts, Economics and Political Science",economics
bachelor,bachelor,"Bachelor of Arts, English and Journalism",journalism
bachelor,bachelor,"Bachelor of Arts, Mass Communications",mass communication
bachelor,bachelor,"Bachelor of Arts, Political Science",political science
bachelor,bachelor,Bachelor of Business (Honours),business
bachelor,Bachelor,"Bachelor of Business (Honours), Marketing",marketing
bachelor,bachelor,"Bachelor of Business (Hons), Marketing",marketing
bachelor,bachelor,"Bachelor of Business (Marketing), Marketing",marketing
bachelor,bachelor,"Bachelor of Business Admin (Finance), Business Administration and Management, General",business administration
bachelor,bachelor,Bachelor of Business Administration - BBA,business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA (Honours), Business Administration and Management, General",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA (Hons), Business Administration",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA Marketing, with a Second Major in Communications & New Media",marketing
bachelor,bachelor,"Bachelor of Business Administration - BBA, Accounting and Business/Management",accounting
bachelor,bachelor,"Bachelor of Business Administration - BBA, Accounting, Operations Management",operations management
bachelor,bachelor,"Bachelor of Business Administration - BBA, Banking & Finance",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Business administration ",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Business Administration and Management, General",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Business, Management, Marketing, and Related Support Services",business management
bachelor,bachelor,"Bachelor of Business Administration - BBA, Business/Corporate Communications",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Finance and Financial Management Services",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Finance, General",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, First Class Honours",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Global Business and Marketing",marketing
bachelor,bachelor,"Bachelor of Business Administration - BBA, Information Management (Internet Service and Social Networks)",information management
bachelor,bachelor,"Bachelor of Business Administration - BBA, International Business and Chinese Enterprise",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, International Business Management",business management
bachelor,bachelor,"Bachelor of Business Administration - BBA, Management Information Systems, General",business administration
bachelor,bachelor,"Bachelor of Business Administration - BBA, Marketing",marketing
bachelor,bachelor,"Bachelor of Business Administration - BBA, Marketing & Information System ",marketing
bachelor,bachelor,"Bachelor of Business Administration - BBA, Marketing Communications",marketing
bachelor,bachelor,Bachelor of Business Administration - Finance,business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.)			  	         2007, 2010; International Business and Marketing",marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.) - Magna Cum Laude, Marketing",marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.) with Merit, Marketing",marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Business Administration",business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Business Administration and Management, General",business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Business Economics / International Business",business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Business Operations Management",business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Business, Management and Marketing",marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Business, Management, Marketing, and Related Support Services",business
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Fiance and Banking",business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Finance, General",business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), International Business/Trade/Commerce",business administration
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Marketing",marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Marketing & Human Resource Management",human resources
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Marketing and Technopreneurship",marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Marketing Major",marketing
bachelor,bachelor,"Bachelor of Business Administration (B.B.A.), Marketing/Marketing Management, General",marketing
bachelor,bachelor,Bachelor of Business Administration (BBA),business administration
bachelor,bachelor,"Bachelor of Business Administration (BBA)
(First Class Honours), Tourism and Hospitality Management, Human Resources Consulting",human resources
bachelor,bachelor,"Bachelor of Business Administration (BBA) - IBGM, Global business and Finance",business administration
bachelor,bachelor,"Bachelor of Business Administration (BBA), Accounting",accounting
bachelor,bachelor,"Bachelor of Business Administration (BBA), Accounting and Finance",accounting
bachelor,bachelor,"Bachelor of Business Administration (BBA), Business",business
bachelor,bachelor,"Bachelor of Business Administration (BBA), Business Administration and Management, General",business administration
bachelor,bachelor,"Bachelor of Business Administration (BBA), Business/Managerial Economics",business administration
bachelor,bachelor,"Bachelor of Business Administration (BBA), Human Resources Development",human resources
bachelor,bachelor,"Bachelor of Business Administration (BBA), Human Resources Management and Services",human resources
bachelor,bachelor,"Bachelor of Business Administration (BBA), International Business and Global Management",business administration
bachelor,bachelor,"Bachelor of Business Administration (BBA), International Business, Marketing, Management ",marketing
bachelor,bachelor,"Bachelor of Business Administration (BBA), Marketing",marketing
bachelor,bachelor,"Bachelor of Business Administration (BBA), Marketing/Marketing Management, General",marketing
bachelor,bachelor,"Bachelor of Business Administration (BBA), Professional Accounting / Organizational Management",accounting
bachelor,bachelor,Bachelor of Business Administration (Honors),business administration
bachelor,bachelor,Bachelor of Business Administration (Honors),business
bachelor,bachelor,"Bachelor of Business Administration (Honours), Accountancy and Finance",business administration
bachelor,bachelor,"Bachelor of Business Administration (Honours), Business, Major in Marketing",marketing
bachelor,bachelor,"Bachelor of Business Administration (Hons), Operations and Supply Chain Management, and Management and Human Capital",business administration
bachelor,bachelor,"Bachelor of Business Administration and Analytics (BBA), Business, Management, Analytics, Statistics",business management
bachelor,bachelor,"Bachelor of Business Administration, Marketing and Management",marketing
bachelor,bachelor,"Bachelor of Business and Commerce, Accounting and Finance",accounting
bachelor,bachelor,"Bachelor of Business and Commerce, Marketing + Banking & Finance",marketing
bachelor,bachelor,"Bachelor of business information Systems / Bachelor Of Business, Finance, General",business
bachelor,bachelor,Bachelor of Business Management,business management
bachelor,bachelor,"Bachelor of Business Management - BBM, Finance",business management
bachelor,bachelor,"Bachelor of Business Management - BBM, Marketing",business management
bachelor,bachelor,"Bachelor of Business Management , Business Administration and Management, General",business management
bachelor,bachelor,"Bachelor of Business Management (BBM), Finance",finance
bachelor,bachelor,"Bachelor of Business Management (BBM), Finance Major",business
bachelor,bachelor,"Bachelor of Business Management (BBM), Marketing and Finance",business management
bachelor,bachelor,"Bachelor of Business Management (Honours), Marketing & Corporate Communications",business
bachelor,bachelor,"Bachelor of Business Management (Hons), Human Resource, Management and Marketing",business management
bachelor,bachelor,"Bachelor of Business Management, Double Majors in Finance and Corporate Communications",business management
bachelor,bachelor,"Bachelor of Business Management, Investment Finance and Strategic Management, Cum Laude",business management
bachelor,bachelor,"Bachelor of Business Management, Marketing",business management
bachelor,bachelor,"Bachelor of Business Management, Marketing & Corporate Communications",business management
bachelor,bachelor,"Bachelor of Business Management, Marketing & Operations Management",business management
bachelor,bachelor,"Bachelor of Business Management, Marketing/Corporate Communication",business management
bachelor,bachelor,"Bachelor of Business Management, Organisational Behaviour and Human Resources",human resources
bachelor,bachelor,"Bachelor of Business Managment, International Business",business
bachelor,bachelor,"Bachelor of Business Studies, Management",business
unknown,unknown,BA in Computer Science,computer science
